competitor,route_start,route_dest,from_alternateId,to_alternateId,CODE,pax_1,pax_2,pax_3,pax_4,pax_5,pax_6,pax_7,pax_8,pax_9,pax_10,pax_11,pax_12,pax_13,pax_14,pax_15,pax_16,Retry
Sun,Melbourne Airport,Greensborough,28290,36403,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Highett,28290,35768,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Keilor East,28290,35817,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Kew East,28290,35671,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Kyneton,28290,37679,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Murrumbeena,28290,35664,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Park Orchards,28290,36024,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Preston (Victoria),28290,36025,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Scoresby,28290,37455,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Upwey,28290,32657,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Vic,28290,10613,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Williams Landing,28290,32644,MEL,,,,,,,,,,,,,,,,,
Sun,Melbourne Airport,Williamstown,28290,33398,MEL,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Augsburg,23416,23350,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Bad Waldsee,23416,25027,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Bad Wörishofen,23416,26541,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Bregenz,23416,23425,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Dornbirn,23416,23428,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Ehrwald,23416,22234,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Feldkirch,23416,23429,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Fieberbrunn,23416,22239,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Fiss,23416,22241,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Galtür,23416,22262,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Garmisch-Partenkirchen,23416,22660,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Ischgl,23416,22260,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Kappl,23416,22261,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Kaprun,23416,22266,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Kempten,23416,23291,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Kitzbuhel,23416,22271,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Konstanz,23416,25171,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Lech Am Arlberg,23416,22279,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Lermoos,23416,22646,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Meersburg,23416,31292,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Memmingen,23416,23417,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Munich Airport,23416,21801,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Serfaus,23416,22291,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Sölden,23416,22292,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Söll,23416,22293,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Ulm,23416,23316,FMM,,,,,,,,,,,,,,,,,
Sun,Memmingen Airport,Zell Am See,23416,22298,FMM,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Arenal D'en Castell,10578,10336,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Binibequer,10578,10337,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Cala Blanca,10578,10340,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Cala Galdana,10578,10341,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Cala Santandria,10578,10608,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Cala'n Blanes,10578,10343,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Cala'n Bosch,10578,10344,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Cala'n Forcat,10578,10345,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Cala'n Porter,10578,10346,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Ciutadella,10578,10348,MAH,,,,,,,,,,,,,,,,,
